String ID,Category,Explanation,en,sv,ja,zh,ru,de,fr
Tutorial Strings,,"General info:
- When () paranthesis are used - the game will replace what's in them with the appropiate image, depending on if the player uses keyboard or controller.
- Things inside [bracket] [/bracket] brackets are instructions for the game's bbcode to do text effects. They should be left in as-is to effect the text inside the brackets
- Give me a ping if anything is unclear! :) I'm available at sebastian.a.larsson@gmail.com",,,,,,,
tut_jump,Tutorial,https://youtu.be/u7hrqY9PqU8?t=130,Press (jump) to jump,Hoppa med (jump),(jump)でジャンプ,按(jump)跳跃,"Нажмите (jump), чтобы прыгнуть",Zum Springen (jump) drücken,Appuie sur (jump) pour sauter
tut_drill,Tutorial,https://youtu.be/u7hrqY9PqU8?t=160,Hold (drill) to drill,Borra med (drill),(drill)を長押しで掘る,长按(drill)进行钻探,"Удерживайте (drill), чтобы бурить",Zum Bohren (drill) gedrückt halten,Maintiens (drill) pour forer
tut_fly,Tutorial,https://youtu.be/u7hrqY9PqU8?t=175,Jump (jump) multiple times to fly further,Hoppa (jump) flera gånger för att flyga ,(jump)を連続で押すと遠くまで飛べる,多次按(jump)可以飞得更远,"Нажимайте (jump) несколько раз, чтобы лететь дальше",Zum Fliegen mehrmal (jump) drücken,Appuie plusieurs fois sur (jump) pour voler plus loin
tut_drop,Tutorial,https://youtu.be/u7hrqY9PqU8?t=219,"Ores are valuable, but heavy. Press (inventory) to drop ores and become lighter","Mineraler är värdefulla, men tunga. Tryck på (inventory) för att släppa mineraler så att du kan flyga",鉱石は貴重ですが重いです。(inventory)で鉱石を捨てて軽くなりましょう,矿石很有价值，但很重。按(inventory)丢弃矿石以减轻负重,"Руды ценны, но тяжелы. Нажмите (inventory), чтобы сбросить руды и стать легче","Erze sind wertvoll, aber schwer. Drücke (inventory), um Erze fallen zu lassen und leichter zu werden.","Les minerais sont précieux, mais lourds. Appuie sur (inventory) pour les lâcher et t’alléger"
tut_long_drill,Tutorial,https://youtu.be/u7hrqY9PqU8?t=242,Stand on an edge to drill across a gap,Stå på en kant för att gräva över ett gap,崖の端に立って向こう側を掘ろう,站在边缘钻穿空隙,"Встаньте на край и бурите, чтобы преодолеть пропасть","Stell dich an den Rand, um über eine Lücke zu bohren",Tiens-toi au bord pour forer de l’autre côté
tut_ledge_drill,Tutorial,https://youtu.be/u7hrqY9PqU8?t=258,Stand on an edge and drill upwards to drill tricky blocks,Stå på en kant och borra uppåt för att gräva kluriga block,崖の端に立ち、上向きに掘って難しいブロックに届こう,站在边缘向上钻以够到难钻的方块,"Встаньте на край и бурите вверх, чтобы достать до трудных блоков","Stell dich an den Rand und bohre nach oben, um knifflige Blöcke zu erreichen.",Tiens-toi au bord et fore vers le haut pour casser les blocs difficiles
tut_flower,Tutorial,https://youtu.be/u7hrqY9PqU8?t=469,Drill any SOLID block for a while to plant a flower,Borra ett solidt block länge för att plantera en blomma,固いブロックをしばらく掘ると花が咲きます,长时间钻坚硬的方块可以种出花,"Долго бурите твёрдый блок, чтобы посадить цветок","Bohre länger in einen FESTEN Block, um eine Blume zu pflanzen",Fore un bloc SOLIDE pendant un moment pour y faire pousser une fleur
tut_passed,Tutorial,https://youtu.be/u7hrqY9PqU8?t=153,nice ~,Snyggt ~,ナイス〜,不错~,Круто~,Sauber  ~,joli ~
demo_sign,Demo,Displayed at a sign at the end of the drillbird demo. ,"[center]You've reached the border of Drillbirds demo!

Please check out the [wave]full release [/wave]to experience the rest

You can continue exploring the upper parts for as long as you like. ","[center]Nu har du kommit till slutet av demot!

Kolla in [wave]det färdiga spelet [/wave]för att uppleva resten

Du kan fortsätta utforska de tidigare sektionerna så länge du vill","[center]ドリルバードのデモの境界に到達しました！

ぜひ[wave]完全版[/wave]をチェックして続きを体験してください

上のエリアは自由に探索できます。","[center]你已到达Drill Bird演示版的边界！

请查看[wave]完整版本[/wave]以体验完整内容

你可以随意探索上方区域。","[center]Вы дошли до границы демо Drill Bird!

Пожалуйста, посмотрите [wave]полную версию[/wave], чтобы продолжить приключение

Вы можете продолжать исследовать верхние уровни сколько захотите.","[center]Du hast das Ende der Demo erreicht!

Schau dir [wave]das fertige Spiel[/wave] an, um den Rest zu erleben

Du kannst die vorherigen Bereiche so lange erkunden, wie du willst.",[center]Tu es arrivé à la fin de la démo de Drillbird !Découvre le [wave]jeu complet[/wave] pour explorer la suite.Tu peux continuer à explorer les zones supérieures aussi longtemps que tu veux.
Menu Strings,,video walkthrough: https://youtu.be/u7hrqY9PqU8?t=14 ,,,,,,,
menu_continue,menu,https://youtu.be/u7hrqY9PqU8?t=14,Continue,Fortsätt,続きから,继续,Продолжить,Fortsetzen,Continuer
menu_new_game,menu,see above,New Game,Nytt Spel,ニューゲーム,新游戏,Новая игра,Neues Spiel,Nouvelle partie
menu_options,menu,see above,Options,Inställningar,オプション,设置,Настройки,Optionen,Options
